system:index,builtup,canopyMn,canopySD,cluster,cropland,grass,latitude,longitude,wetland,.geo
1946,5,77,41,1,40,20,11.967850288426778,104.13580692303974,0,
1947,7,79,16,1,18,3,11.887001912855926,106.67714086185036,0,
1948,10,59,48,1,18,10,12.576638556475299,107.50745367897396,0,
1949,5,74,21,1,32,10,12.469379711551301,106.81350512198166,0,
1950,1,90,23,1,10,11,14.504602819254886,107.24900837172906,0,
1951,3,68,16,1,22,1,14.129196862020896,104.16599031658659,0,
1952,0,92,39,1,15,25,11.939553356976983,107.19996035721543,0,
1953,1,83,22,1,10,1,13.841107150403426,106.66932551887841,0,
1954,1,90,31,1,10,3,14.305176826180118,106.69115458028283,0,
1955,1,66,25,1,22,1,13.06738819619037,102.09115150482593,0,
1956,1,90,27,1,34,0,12.998936571540382,102.29408092751144,0,
1957,0,88,24,1,9,5,13.759719785662101,106.6644746163441,0,
1958,5,66,27,1,14,20,14.799699390088497,106.60788075344375,0,
1959,1,76,36,1,33,23,13.60907231251508,104.05441955829734,0,
1960,1,64,26,1,17,23,13.351165994444061,106.74613147567173,0,
1961,1,78,34,1,25,20,12.132241985420844,102.76327100041381,0,
1962,5,85,48,1,39,21,10.216135484391646,103.99001035242505,0,
1963,1,84,21,1,22,7,13.971542529657734,103.82157623665022,0,
1964,3,73,22,1,33,3,13.010794333290773,105.46953562539115,0,
1965,5,70,23,1,36,10,14.819372494810738,106.53323075333235,0,
1966,1,79,20,1,20,3,10.978805160610019,103.31465692181429,0,
1967,3,81,31,1,36,7,12.354305523655452,103.10121721030443,0,
1968,1,89,25,1,15,0,14.369586032051563,107.5287437512079,0,
1969,5,69,17,1,15,11,12.559390903020184,102.46817442957631,0,
1970,10,66,38,1,34,7,12.776334044135302,102.09249897775213,0,
1971,1,73,24,1,34,10,12.639430794835324,105.43477082389522,0,
1972,7,73,32,1,29,5,11.773005703301028,106.14003815346759,0,
1973,7,93,34,1,15,3,14.322154985049997,107.00646324501331,0,
1974,10,87,57,1,25,30,11.063156965788945,104.28456793409207,0,
1975,0,78,17,1,25,11,13.810115273101266,104.22393165241313,0,
1976,1,70,41,1,23,7,11.856549024724242,103.96494735599775,0,
1977,3,77,52,1,25,1,11.555523573015432,106.29311107788375,0,
1978,3,75,36,1,35,5,13.572960038093433,107.12234591666639,0,
1979,3,74,18,1,23,18,14.135664732066564,105.44312515603765,0,
1980,1,88,33,1,20,3,14.752537837672167,107.10590674696677,0,
1981,15,63,35,1,15,21,13.399675019786573,107.61525151306985,0,
1982,1,67,33,1,27,10,12.628651011425877,107.15199032104276,0,
1983,0,82,25,1,24,1,12.351071588632617,102.67137334684706,0,
1984,3,66,53,1,23,10,12.555078989656405,102.35525619836086,0,
1985,1,84,36,1,23,1,11.832294512052986,105.95408688965217,0,
1986,5,85,48,1,39,31,11.185507507486168,103.80459807778011,0,
1987,1,99,32,1,11,3,12.137631877125568,102.51183255238514,0,
1988,14,72,35,1,40,11,13.08355787130454,102.31186757013727,0,
1989,0,78,22,1,29,0,13.266814189265139,106.24621902005204,0,
1990,5,66,32,1,25,1,11.617776822204991,106.5267628832866,0,
1991,5,74,33,1,27,15,13.765109677366825,103.47877912422528,0,
1992,7,81,92,1,20,3,14.16692610395396,107.67777425684547,0,
1993,5,69,21,1,30,10,13.582661843161935,106.11793959747793,0,
1994,1,88,22,1,20,14,13.828440904897326,103.56447840233152,0,
1995,1,70,24,1,34,14,13.78370480374812,105.56035530061693,0,
1996,3,83,33,1,16,11,14.353146862352157,105.51588869405238,0,
1997,3,72,20,1,27,14,14.127310399924243,106.05029645658276,0,
1998,10,78,25,1,35,3,10.318812921366632,104.33523291611714,0,
1999,3,83,48,1,14,3,12.504144513046764,107.07410638590848,0,
2000,0,73,4,2,83,56,10.602321225035087,106.0675441100381,0,
2001,3,57,18,2,62,62,12.871196138138435,103.80998796948491,0,
2002,0,62,42,2,58,66,12.666380253358941,104.666711255962,0,
2003,1,61,60,2,69,54,12.893025199542565,103.57822262617874,0,
2004,3,45,87,2,52,66,13.033431878450612,103.68467298734843,7,
2005,7,26,34,2,36,56,10.720090358783292,103.69760872743994,0,
2006,10,69,37,2,50,36,11.2267401790273,103.47985710256624,0,
2007,0,83,39,2,19,57,12.8299634665973,103.68655944944511,0,
2008,5,48,42,2,50,75,13.112393791924811,104.16976324077994,0,
2009,0,81,56,2,25,60,12.836970325813441,103.61918580313518,0,
2010,7,50,32,2,33,41,12.245699205805277,107.59315295708019,0,
2011,10,22,30,2,12,66,13.34415913522792,103.15296017067045,0,
2012,1,77,15,2,50,56,13.368952637069649,103.38849843816998,0,
2013,0,62,38,2,57,63,12.55373151673022,104.5737356240543,0,
2014,7,74,34,2,40,46,13.112932781095283,103.51300493655073,0,
2015,3,76,52,2,59,60,12.77363909828294,104.58047298868529,7,
2016,5,47,25,2,68,50,12.919974658066183,107.63627209071855,0,
2017,5,89,32,2,51,51,12.966866715897277,103.64263183205104,0,
2018,1,61,42,2,62,63,12.909194874656736,103.57364121822967,0,
2019,1,76,28,2,51,57,13.059572853218521,103.48713345636772,0,
